Dise No.,Rural / Urban,Year,Block Code,Block Name,Village Code,Village Name,Zonal Office,CRC Code,CRC No.,Pin Code,School Name,School Status Code,School Status,Management Code,Management Name,Category Code,Category Name,School Type Code,School Type Name,Lowest Class,Highest Class,Medium Code,Medium,Pre Primary Boys,Pre Primary Girls,Pre Primary Total,1 Boys,1 Girls,1 Total,2 Boys,2 Girls,2 Total,3 Boys,3 Girls,3 Total,4 Boys,4 Girls,4 Total,5 Boys,5 Girls,5 Total,6 Boys,6 Girls,6 Total,7 Boys,7 Girls,7 Total,8 Boys,8 Girls,8 Total,9 Boys,9 Girls,9 Total,10 Boys,10 Girls,10 Total,11 Boys,11 Girls,11 Total,12 Boys,12 Girls,12 Total,1_5 Boys,1_5 Girls,1_5 Total,6_8 Boys,6_8 Girls,6_8 Total,1_8 Boys,1_8 Girls,1_8 Total,9_12 Boys,9_12 Girls,9_12 Total,1_12 Boys,1_12 Girls,1_12 Total
27251400407,Urban,2012-13,272514,Aundh,272514004,DAHANUKAR COLONY,Warje - Karve Nagar,2725140006,Aundh CRC No. 6,411038,MAHESH VIDYALAY ENGLISH SECONDARY,0,Operational,20,Permanent Unaided,8,Secondary Only,3,Co-Education,8,10,19,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,29,6,1,7,8,6,14,0,0,0,0,0,0,0,0,0,23,6,29,23,6,29,14,7,21,37,13,50
27251400501,Urban,2012-13,272514,Aundh,272514005,DECCAN GYMKHANA,Ghole Road,2725140006,Aundh CRC No. 6,411005,P. M. C. 14 B,0,Operational,17,MNC,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,15,13,28,8,12,20,12,13,25,17,20,37,22,14,36,16,12,28,14,7,21,11,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,71,146,25,15,40,100,86,186,0,0,0,100,86,186
27251400502,Urban,2012-13,272514,Aundh,272514005,DECCAN GYMKHANA,Ghole Road,2725140006,Aundh CRC No. 6,411005,MATIMAND VIDYA PMC 14 B,0,Operational,17,MNC,1,Primary,3,Co-Education,1,4,10,Marathi,0,0,0,6,6,12,5,4,9,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,28,0,0,0,18,10,28,0,0,0,18,10,28
27251400503,Urban,2012-13,272514,Aundh,272514005,DECCAN GYMKHANA,Ghole Road,2725140006,Aundh CRC No. 6,411005,PMC SCHOOL 14 B  ENGLISH,0,Operational,17,MNC,1,Primary,3,Co-Education,1,2,19,English,17,7,24,8,11,19,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,24,0,0,0,11,13,24,0,0,0,11,13,24
27251400504,Urban,2012-13,272514,Aundh,272514005,DECCAN GYMKHANA,Ghole Road,2725140006,Aundh CRC No. 6,411004,SHARDA VIDYAMANDIR,0,Operational,4,Pvt. Aided,1,Primary,3,Co-Education,1,4,10,Marathi,111,80,191,72,57,129,66,37,103,82,47,129,94,58,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,199,513,0,0,0,314,199,513,0,0,0,314,199,513
27251400505,Urban,2012-13,272514,Aundh,272514005,DECCAN GYMKHANA,Ghole Road,2725140006,Aundh CRC No. 6,411004,L APTE PRASHALA,0,Operational,4,Pvt. Aided,5,Up. Pr. Secondary and Higher Sec,3,Co-Education,5,12,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,57,192,140,60,200,135,61,196,142,78,220,154,70,224,133,68,201,151,109,260,150,102,252,135,57,192,417,199,616,552,256,808,588,349,937,1140,605,1745
27251400506,Urban,2012-13,272514,Aundh,272514005,DECCAN GYMKHANA,Ghole Road,2725140006,Aundh CRC No. 6,411005,SANT SHIVGANGA DEVI VID,0,Operational,4,Pvt. Aided,8,Secondary Only,3,Co-Education,8,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,12,66,53,15,68,39,3,42,0,0,0,0,0,0,0,0,0,54,12,66,54,12,66,92,18,110,146,30,176
27251400507,Urban,2012-13,272514,Aundh,272514005,DECCAN GYMKHANA,Ghole Road,2725140006,Aundh CRC No. 6,411005,SHIVAJI PRE SECONDARY,0,Operational,4,Pvt. Aided,5,Up. Pr. Secondary and Higher Sec,3,Co-Education,5,12,19,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,77,0,77,65,0,65,75,0,75,101,0,101,80,0,80,184,31,215,175,24,199,60,0,60,217,0,217,277,0,277,540,55,595,817,55,872
27251400508,Urban,2012-13,272514,Aundh,272514005,DECCAN GYMKHANA,Ghole Road,2725140006,Aundh CRC No. 6,411001,SHIVAJI PRE PRI ,0,Operational,19,Unaided,1,Primary,1,Boys,1,4,19,English,0,0,0,13,0,13,32,0,32,33,0,33,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,126,0,0,0,126,0,126,0,0,0,126,0,126
27251400509,Urban,2012-13,272514,Aundh,272514005,DECCAN GYMKHANA,Ghole Road,2725140006,Aundh CRC No. 6,411004,THE ANDHRA SCHOOL,0,Operational,20,Permanent Unaided,2,Primary with Upper Primary,3,Co-Education,1,7,19,English,5,9,14,6,5,11,4,5,9,3,4,7,4,3,7,8,3,11,3,5,8,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,45,5,6,11,30,26,56,0,0,0,30,26,56
